Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist
2,11,21,13,,,,,,
2,13,23,12,,,,,,
2,15,5,13,,,,,,
2,13,23,15,,,,,,
2,11,20,12,,,,,,
2,9,20,10,,,,,,
2,8,16,11,,,,,,
2,9,20,12,,,,,,
2,9,20,11,,,,,,
2,8,19,10,,,,,,
1,4,19,10,,,,,,
1,4,20,9,,,,,,
1,4,20,9,,,,,,
2,3,19,9,,,,,,
2,3,20,10,,,,,,
2,3,19,10,,,,,,
2,3,19,10,,,,,,
1,3,20,8,,,,,,
2,4,20,9,,,,,,
2,4,20,9,,,,,,
2,13,21,11,,,,,,
2,14,21,14,,,,,,
2,16,22,13,,,,,,
2,15,20,13,,,,,,
1,17,21,13,,,,,,
2,10,22,11,,,,,,
2,15,21,13,,,,,,
2,17,21,13,,,,,,
2,16,21,13,,,,,,
2,18,20,13,,,,,,
2,19,19,13,,,,,,
1,6,20,11,,,,,,
1,6,18,11,,,,,,
1,7,20,11,,,,,,
1,5,19,10,,,,,,
1,7,21,14,,,,,,
1,6,20,11,,,,,,
2,6,19,10,,,,,,
1,6,20,11,,,,,,
2,8,20,13,,,,,,
2,6,20,11,,,,,,
2,6,21,11,,,,,,
2,7,21,14,,,,,,
2,6,20,13,,,,,,
2,7,20,12,,,,,,
2,6,20,11,,,,,,
1,7,21,10,,,,,,
2,6,21,11,,,,,,
2,7,20,11,,,,,,
2,7,21,12,,,,,,
1,7,20,10,,,,,,
1,6,20,11,,,,,,
2,5,20,12,,,,,,
2,5,19,11,,,,,,
1,5,20,10,,,,,,
1,6,21,12,,,,,,
1,7,21,14,,,,,,
1,11,20,11,,,,,,
1,5,20,12,,,,,,
1,4,20,12,,,,,,
1,5,20,11,,,,,,
2,6,20,11,,,,,,
2,7,21,11,,,,,,
2,8,23,13,,,,,,
2,10,22,12,,,,,,
2,10,22,11,,,,,,
2,10,22,12,,,,,,
2,11,22,14,,,,,,
2,11,20,11,,,,,,
2,13,22,12,,,,,,
2,11,21,13,,,,,,
2,12,22,13,,,,,,
2,11,22,12,,,,,,
1,13,20,15,,,,,,
1,12,21,13,,,,,,
1,10,21,14,,,,,,
1,13,21,14,,,,,,
1,12,21,15,,,,,,
1,11,20,12,,,,,,
1,9,22,14,,,,,,
1,10,21,14,,,,,,
1,7,20,10,,,,,,
2,8,21,11,,,,,,
2,10,21,10,,,,,,
1,13,21,15,,,,,,
1,12,21,13,,,,,,
2,10,21,13,,,,,,
2,7,21,11,,,,,,
1,5,20,10,,,,,,
1,5,20,10,,,,,,
2,4,19,11,,,,,,
2,8,21,13,,,,,,
2,8,20,14,,,,,,
2,10,21,13,,,,,,
2,8,20,12,,,,,,
2,8,21,13,,,,,,
2,7,20,11,,,,,,
2,7,20,13,,,,,,
2,9,20,14,,,,,,
2,11,21,11,,,,,,
2,10,20,13,,,,,,
2,11,22,11,,,,,,
2,13,21,12,,,,,,
1,12,20,11,,,,,,
1,12,19,13,,,,,,
1,12,21,14,,,,,,
1,12,19,10,,,,,,
1,11,20,11,,,,,,
1,14,20,11,,,,,,
1,8,19,11,,,,,,
1,5,20,10,,,,,,
2,7,21,10,,,,,,
2,7,21,14,,,,,,
2,7,21,14,,,,,,
1,11,20,12,,,,,,
1,7,21,11,,,,,,
2,6,20,11,,,,,,
